# U 	 D 	 I 	 N 
0.0	2.3709143184765545e-12	1.0273962046786063e-06	0.9999989727452367
0.2	7.1941979018962814e-12	1.8423221795316485e-06	0.999998157607118
0.4	2.1829742909008586e-11	3.3036415805730077e-06	0.9999966963800959
0.6000000000000001	6.623909002582364e-11	5.924064286670399e-06	0.9999940758787975
0.8	2.0099219437084498e-10	1.0622963747280552e-05	0.9999893768158677
1.0	6.0987721301287e-10	1.9048905056387807e-05	0.9999809504867077
1.2000000000000002	1.8505580487351408e-09	3.415792067028227e-05	0.9999658402309455
1.4000000000000001	5.615103927512979e-09	6.125021461759016e-05	0.9999387441704599
1.6	1.7037410884854584e-08	0.00010982836414403425	0.9998901545927721
1.8	5.169310256395671e-08	0.00019692670748234	0.9998030216050459
2.0	1.5683089523850283e-07	0.00035307319237014745	0.9996467698492049
2.2	4.7574772829699323e-07	0.0006329522516308717	0.9993665720010875
2.4000000000000004	1.4428636605423167e-06	0.0011344376234585863	0.9988641195125857
2.6	4.374212699621715e-06	0.0020324334559786725	0.9979631923322325
2.8000000000000003	1.3251459342079536e-05	0.003638657931717536	0.9963480906105691
3.0	4.0092873962403825e-05	0.006505876644351669	0.9934540304827364
3.2	0.00012102175873295573	0.011605482410149614	0.9882734958288676
3.4000000000000004	0.0003638055702895642	0.020617195141763234	0.9790189992870783
3.6	0.001086131054489371	0.036374428615496286	0.9625394403247188
3.8000000000000003	0.0032028015078069206	0.06338462832344753	0.9334125701537312
4.0	0.009202745358520817	0.10762811401190123	0.8831691406320193
4.2	0.0252781304288225	0.17471195673637194	0.800009912833693
4.4	0.06450662131188267	0.2634728646061408	0.6720205140787621
4.6000000000000005	0.14602127448811292	0.3525049306562452	0.5014737948736591
4.800000000000001	0.28107644337309495	0.40098336415322844	0.3179401924754417
5.0	0.4514220495860279	0.38053119626664506	0.168046754146722
5.2	0.6172560774430986	0.30749294369970553	0.075250978856745
5.4	0.7494814860873158	0.22063874055576338	0.029879773351530317
5.6000000000000005	0.8423097725746443	0.14655069268812548	0.011139534737245256
5.800000000000001	0.9031660911983531	0.0928622733325631	0.003971635469136179
6.0	0.9414240719261807	0.057207008607814455	0.0013689194663019238
6.2	0.9648880246790128	0.034649192032281666	0.00046278328906917976
6.4	0.9790678565658688	0.020777354067172127	0.00015478936684633603
6.6000000000000005	0.9875640983229974	0.012384440275405289	5.146140190306035e-05
6.800000000000001	0.9926262172158398	0.007356738546608251	1.7044237479262358e-05
7.0	0.995633625426936	0.004360740166741699	5.634406253894611e-06
7.2	0.9974164841112846	0.0025816556465526924	1.8602421333149671e-06
7.4	0.9984721057241782	0.0015272805736073788	6.137021354177581e-07
7.6000000000000005	0.9990966650310692	0.0009031325686970979	2.0240019042226142e-07
7.800000000000001	0.9994660170535477	0.0005339162357962656	6.671071612030828e-08
8.0	0.9996843837401611	0.0003155942676882849	2.1992154716846967e-08
8.200000000000001	0.9998134637802499	0.00018652896596504977	7.2537682776809115e-09
8.4	0.9998897572762933	0.00011024033465170811	2.3890587742811648e-09
8.6	0.9999348481940249	6.515101857951815e-05	7.873931549234309e-10
8.8	0.9999614968010547	3.850293945222508e-05	2.5949229920558087e-10
